id book,id author
57329543,54149
43427374,54149
43427366,54149
36306148,54149
6086128,54149
56574340,56063
28740671,44351
56290058,19579326
54083861,45292
54130263,49380
56058670,45084
57329543,54149
43427374,54149
43427366,54149
40502015,17980075
47453330,20605594
48442827,20605594
56247848,22324762
57306971,44862
27624091,44470
56056415,17250947
51598283,44826
55345152,51734
56992956,48767
48686275,45292
29186447,44351
55547087,6160050
57182686,2229525
43464104,2229525
48587302,2229525
42843850,2229525
55852821,2229525
56080600,23566123
56553869,3072988
4578362,60198
42613828,60198
51356602,13779107
43661562,220322
50387903,21823342
56995285,3378056
8885781,4805466
24615144,11564969
6035554,3375697
611705,220322
57191190,5241551
27351958,8674933
9444689,3139907
56270018,15472606
27351958,8674933
28740671,44351
29186447,44351
4565078,44351
6375365,46265
56044048,45097
284832,46149
176796,46149
57182686,2229525
57334658,2229525
48804144,2229525
3147825,2229525
28740671,44351
29186447,44351
4565078,44351
56247848,22324762
40502015,17980075
56080600,23566123
51598283,44826
56290058,19579326
57306971,44862
56992956,48767
44480031,22364624
55345544,22364624
42668283,17618839
47453330,20605594
57239336,10696491
56056415,17250947
55840889,16101321
51865708,16101321
55702234,16101321
50536228,16101321
37400904,16101321
23188614,46570
51649356,44871
19487529,46265
248812,45006
56100135,4334182
57388493,4334182
4565084,44351
57384706,279915
639015,44351
48513502,44351
48639792,44351
48471508,4334182
55840889,16101321
54839198,4334182
51650576,4334182
57189293,3150074
54839198,4334182
43655475,3774618
40706570,3774618
38583093,3774618
51874441,3774618
52298094,3774618
6375365,46265
56574340,56063
56870808,12979389
32620157,44351
57238995,21104183
55559506,10626593
43655475,3774618
40706570,3774618
38583093,3774618
57244795,11190898
45176164,11190898
25096743,2632575
57292101,15730401
57363526,13025328
43130840,22364624
55101447,21104183
48827396,22364624
43673173,21104183
43620619,15730401
51645084,17113504
55345544,22364624
43017053,18558546
57239336,10696491
43656995,10696491
48650877,10696491
51392111,10696491
56080510,45292
57191190,5241551
56247848,22324762
42668283,17618839
57190478,13152120
40502015,17980075
56290058,19579326
57306971,44862
27624091,44470
57385795,4188885
56056415,17250947
41927572,292385
43661667,19579326
51598283,44826
57239336,10696491
29186447,44351
57400517,54149
57239336,10696491
8439327,87232
28751272,87232
6028919,87232
8333011,4340152
4991283,54370
57306966,53052
147113,55387
54753647,23340943
48508375,21107267
8634687,4681897
22101218,10397921
8439327,87232
28751272,87232
6028919,87232
20690188,8674933
27351958,8674933
40230917,8674933
57209655,44414
8644060,1899825
18506362,8710303
165477,60891
125266,47294
23123844,10410544
56174183,10410544
38608665,17116105
18910175,2634665
9825426,280055
9527389,5268591
15879612,5268591
9747426,68252
18019051,68252
33573368,5268591
20690188,8674933
4884703,2634665
5815016,3378545
31729064,67302
130519,49222
8644060,1899825
24631465,10410544
37926816,16860304
27993747,10410544
6037310,60891
9012257,3378545
12487984,1899825
51671322,21843208
25280333,4854044
57107233,3063900
3703045,2522705
25280333,4854044
4243035,47292
5009028,47292
4242565,47292
20690188,8674933
130519,49222
55345152,51734
24427853,11435861
4368065,44998
5957151,46378
5957147,47058
143960,47709
4243035,47292
5009028,47292
4242565,47292
27351958,8674933
40230917,8674933
34115682,8674933
57209655,44414
8644060,1899825
8634687,4681897
18506362,8710303
51829455,22440308
125266,47294
23123844,10410544
43661562,220322
39831257,2634665
43699996,220322
57101598,24182426
57189293,3150074
57191940,5243731
54075397,23106963
57291373,24182426
57292101,15730401
56058670,45084
43620619,15730401
48825976,45084
23750789,44793
23188614,46570
122462,46378
54861577,47058
9360112,47693
127781,48197
17043079,47693
304672,46570
51650535,57918
4236675,47292
145410,54022
57191190,5241551
4236675,47292
9527389,5268591
15879612,5268591
33173015,5268591
20690188,8674933
4884703,2634665
57184356,4443102
40030727,44558
57101611,24182426
57212123,45850
57101598,24182426
57291373,24182426
9527389,5268591
15879612,5268591
33173015,5268591
34115682,8674933
27351958,8674933
40230917,8674933
57209655,44414
8644060,1899825
8634687,4681897
18506362,8710303
51829455,22440308
125266,47294
23123844,10410544
38608665,17116105
5815016,3378545
9825426,280055
57306966,53052
42550567,53052
25153779,53052
18697320,53052
54083861,45292
51005045,45336
51677300,61710
51265125,64068
50287016,3378056
55607917,87232
4884703,2634665
10942796,3499431
25922438,60157
23136139,44351
24161461,46618
6300076,44351
33573368,5268591
37672212,45850
6715848,2634665
51882308,2634665
35000760,15728352
6715848,2634665
43464104,2229525
48587302,2229525
42843850,2229525
55852821,2229525
56509839,2229525
51356602,13779107
41109992,49178
56080600,23566123
57306971,44862
56553869,3072988
4578362,60198
43464104,2229525
48587302,2229525
42843850,2229525
57291373,24182426
23750789,44793
57365901,9619751
57292101,15730401
56058670,45084
43620619,15730401
282202,48615
57212123,45850
9527389,5268591
43436588,45850
57101598,24182426
57388493,4334182
57101611,24182426
55779490,44351
4565078,44351
9528023,44351
4565084,44351
6375365,46265
57182686,2229525
57334658,2229525
48804144,2229525
3147825,2229525
284832,46149
8634687,4681897
27351958,8674933
57209655,44414
34115682,8674933
165477,60891
51829455,22440308
6702666,3773320
55607917,87232
25280333,4854044
20690188,8674933
18506362,8710303
25280333,4854044
8439327,87232
28751272,87232
6028919,87232
8333011,4340152
4991283,54370
57306966,53052
147113,55387
54753647,23340943
48508375,21107267
8634687,4681897
22101218,10397921
8439327,87232
28751272,87232
6028919,87232
48508375,21107267
48785421,21127199
51981323,940225
55607917,87232
43687160,10397921
18506362,8710303
45175584,19813162
4234345,2088655
42816388,9848539
39500497,46581
56100135,4334182
56032259,23619886
56992956,48767
57388493,4334182
48471508,4334182
48474933,4334182
42350875,4334182
54839198,4334182
29186447,44351
4565084,44351
4565078,44351
57384706,279915
57134000,269585
57189293,3150074
57388493,4334182
56058670,45084
57191940,5243731
129098,48646
55559506,10626593
51868456,5573303
55841034,16101321
19040848,3150074
7624815,3150074
55560335,4805152
19040848,3150074
43620619,15730401
36055275,15730401
35488328,15730401
40502015,17980075
56080600,23566123
57371703,4458122
22766201,10425095
57101611,24182426
57101598,24182426
57291373,24182426
56058670,45084
43620619,15730401
36055275,15730401
35488328,15730401
57209655,44414
24971845,58663
50287034,21789074
20690188,8674933
27351958,8674933
8644060,1899825
8634687,4681897
4884703,2634665
10942796,3499431
25922438,60157
57212123,45850
33573368,5268591
4236675,47292
57101598,24182426
57189293,3150074
57191940,5243731
54075397,23106963
23750789,44793
57388493,4334182
57134000,269585
57184356,4443102
129098,48646
57292101,15730401
4884703,2634665
57209655,44414
23136139,44351
24161461,46618
6300076,44351
51671322,21843208
9527389,5268591
43436588,45850
6715848,2634665
51882308,2634665
35000760,15728352
6715848,2634665
55818997,3120764
5318054,56033
22046406,10387566
23789575,11085030
54175217,11085030
42548877,3790625
36628165,16280813
39335807,17553327
44774691,4340152
9361857,5163842
23593618,3610530
55818997,3120764
5318054,56033
22046406,10387566
39147229,12548546
4436330,65645
11946933,6156372
57102598,3665716
25280333,4854044
6301646,3665716
6444517,3666201
40277846,13028383
22784235,48296
21128748,3188025
28544335,13028383
4239285,211982
50331636,21478975
6444517,3666201
23590168,10990032
15561452,6007356
8649584,3172613
19063017,8864150
11282008,5721929
50345362,21478975
44871772,19937712
39147229,12548546
37402792,13028383
36628165,16280813
2691335,1934495
37926816,16860304
11835578,6109046
27361684,12648924
8904006,4812711
56806816,18957779
11279304,3046233
56180948,23737395
40260159,13028383
8647268,4562778
56180948,23737395
19063017,8864150
21136251,9855179
136962,48202
39335807,17553327
31217415,14129902
28544335,13028383
6301646,3665716
57102598,3665716
39962828,17643191
43315175,3665716
43126037,17643191
19063017,8864150
21136251,9855179
136962,48202
11279304,3046233
14833715,3046233
11279349,3046233
48515206,21109763
55699732,23579476
48515731,21109763
36327468,9071260
43472693,6002833
57127068,24196088
152773,57004
8728205,52737
23593618,3610530
8507477,44830
50345362,21478975
50331636,21478975
18521461,3074702
51800047,22424892
56806816,18957779
25280333,4854044
19571848,55620
11282008,5721929
44871772,19937712
39147229,12548546
9361857,5163842
42548877,3790625
24426218,11435186
6734534,3069763
55895374,12132333
42281079,12132333
7915792,3915935
22101218,10397921
23789575,11085030
43674349,3119075
8647268,4562778
23789575,11085030
19571848,55620
23982146,10985199
48451790,8965945
25280333,4854044
32481440,48202
6444517,3666201
50331636,21478975
28907894,13115294
11130328,3175256
28957932,13152100
28947144,4325612
19571848,55620
23982146,10985199
48451790,8965945
32483943,48202
44871772,19937712
51590149,5234751
12178377,6193845
44736207,19234515
22150614,9848539
22607254,9848539
6301646,3665716
11282008,5721929
37402792,13028383
48827606,18067139
28544335,13028383
159992,59523
23982146,10985199
42630804,10985199
51864673,10985199
54980356,10985199
56806816,18957779
32483943,48202
4239285,211982
23593618,3610530
56904516,24130116
35487942,3364373
42548877,3790625
17667835,3047531
35234394,15810338
42240335,17634787
22678761,56033
17467859,3047531
25022877,2636945
6192342,3168968
4236755,2042235
55699732,23579476
8647268,4562778
4236755,2042235
